,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,fbref_ID,SoTA,GA,Saves,Save%,CS,PKA,PKsv,PKm,Win_Loss_Draw,Season,Before_All_Star
0,2017-04-15,Sat,MLS,Regular Season,Away,W 1–0,Sporting KC,Portland Timbers,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report,4705543b,,,,,,,,,W,2017,False
1,2017-05-13,Sat,MLS,Regular Season,Away,D 2–2,Sporting KC,Orlando City,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report,4705543b,,,,,,,,,D,2017,False
2,2017-06-03,Sat,MLS,Regular Season,Home,W 3–0,Sporting KC,Minnesota Utd,Y,RB,90,1,0,0,0,1,1,0,0,2,0,0,1,2,0,0,,,Match Report,4705543b,,,,,,,,,W,2017,False
3,2017-06-10,Sat,MLS,Regular Season,Home,D 1–1,Sporting KC,Montreal Impact,Y,RB,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report,4705543b,,,,,,,,,D,2017,False
4,2017-07-01,Sat,MLS,Regular Season,Home,D 1–1,Sporting KC,Portland Timbers,Y,RB,90,0,0,0,0,0,0,0,0,2,2,0,1,4,2,0,,,Match Report,4705543b,,,,,,,,,D,2017,False
5,2017-07-06,Thu,MLS,Regular Season,Home,D 1–1,Sporting KC,Philadelphia,Y,RB,90,0,0,0,0,2,1,1,0,3,0,0,1,2,2,0,,,Match Report,4705543b,,,,,,,,,D,2017,False
6,2017-07-22,Sat,MLS,Regular Season,Away,D 1–1,Sporting KC,Real Salt Lake,Y,RB,90,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,,,Match Report,4705543b,,,,,,,,,D,2017,False
7,2017-08-06,Sun,MLS,Regular Season,Home,D 1–1,Sporting KC,Atlanta Utd,Y,RB,90,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,,,Match Report,4705543b,,,,,,,,,D,2017,False
8,2017-08-12,Sat,MLS,Regular Season,Away,L 0–1,Sporting KC,Seattle,Y,RB,90,0,0,0,0,2,1,0,0,2,2,0,2,1,2,0,,,Match Report,4705543b,,,,,,,,,L,2017,False
9,2017-09-06,Wed,MLS,Regular Season,Away,L 0–1,Sporting KC,NYCFC,Y,RB,90,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,,,Match Report,4705543b,,,,,,,,,L,2017,False
10,2017-10-07,Sat,MLS,Regular Season,Away,D 1–1,Sporting KC,Minnesota Utd,Y,RB,90,0,0,0,0,1,0,0,0,0,2,0,2,0,1,0,,,Match Report,4705543b,,,,,,,,,D,2017,False
11,2017-10-11,Wed,MLS,Regular Season,Away,L 1–2,Sporting KC,Houston Dynamo,Y,RB,90,0,1,0,0,2,0,0,0,2,1,0,1,0,4,0,,,Match Report,4705543b,,,,,,,,,L,2017,False
12,2017-10-26,Thu,MLS,Knockout round,Away,L 0–1,Sporting KC,Houston Dynamo,N,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report,4705543b,,,,,,,,,L,2017,False
13,2017-03-04,Sat,MLS,Regular Season,Home,D 1–1,Columbus Crew,Chicago Fire,Y,DM,75,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,,,Match Report,c1f17b17,,,,,,,,,D,2017,False
14,2017-03-11,Sat,MLS,Regular Season,Away,L 1–3,Columbus Crew,Houston Dynamo,N,,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report,c1f17b17,,,,,,,,,L,2017,False
15,2017-03-18,Sat,MLS,Regular Season,Away,W 2–0,Columbus Crew,D.C. United,N,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,Match Report,c1f17b17,,,,,,,,,W,2017,False
16,2017-04-01,Sat,MLS,Regular Season,Home,W 2–0,Columbus Crew,Orlando City,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report,c1f17b17,,,,,,,,,W,2017,False
17,2017-04-08,Sat,MLS,Regular Season,Away,L 0–1,Columbus Crew,Chicago Fire,Y,DM,59,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,Match Report,c1f17b17,,,,,,,,,L,2017,False
18,2017-04-22,Sat,MLS,Regular Season,Away,L 0–2,Columbus Crew,NY Red Bulls,N,,85,0,0,0,0,0,0,0,0,1,2,0,0,1,6,0,,,Match Report,c1f17b17,,,,,,,,,L,2017,False
19,2017-04-29,Sat,MLS,Regular Season,Home,L 2–3,Columbus Crew,NYCFC,Y,DM,90,0,0,0,0,0,0,0,0,2,1,0,1,1,2,0,,,Match Report,c1f17b17,,,,,,,,,L,2017,False
