,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PKatt,PKA,PKsv,PKm,Match Report,fbref_ID,Win_Loss_Draw,Season,Before_All_Star
0,2017-03-03,Fri,MLS,Regular Season,Away,L 1–5,Minnesota Utd,Portland Timbers,Y,GK,90,6,5,1,33.3,0,1,1,0,0,Match Report,0981555b,L,2017,False
1,2017-03-12,Sun,MLS,Regular Season,Home,L 1–6,Minnesota Utd,Atlanta Utd,Y,GK,85,7,5,2,28.6,0,0,0,0,0,Match Report,0981555b,L,2017,False
2,2017-04-15,Sat,MLS,Regular Season,Away,D 2–2,Minnesota Utd,Houston Dynamo,N,,46,2,0,2,100.0,0,0,0,0,0,Match Report,0981555b,D,2017,False
3,2017-04-22,Sat,MLS,Regular Season,Home,W 2–1,Portland Timbers,Vancouver,Y,GK,90,4,1,3,75.0,0,1,0,0,1,Match Report,4277b946,W,2017,False
4,2017-04-29,Sat,MLS,Regular Season,Away,D 2–2,Portland Timbers,FC Dallas,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report,4277b946,D,2017,False
5,2017-05-06,Sat,MLS,Regular Season,Away,L 0–3,Portland Timbers,San Jose,Y,GK,90,8,3,5,62.5,0,0,0,0,0,Match Report,4277b946,L,2017,False
6,2017-06-21,Wed,MLS,Regular Season,Away,L 2–3,Portland Timbers,Minnesota Utd,Y,GK,90,7,3,5,57.1,0,0,0,0,0,Match Report,4277b946,L,2017,False
7,2017-08-12,Sat,MLS,Regular Season,Away,L 1–4,Portland Timbers,Toronto FC,N,,73,5,4,1,20.0,0,0,0,0,0,Match Report,4277b946,L,2017,False
8,2017-08-18,Fri,MLS,Regular Season,Home,W 2–0,Portland Timbers,NY Red Bulls,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report,4277b946,W,2017,False
9,2017-08-23,Wed,MLS,Regular Season,Home,W 2–1,Portland Timbers,Colorado Rapids,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report,4277b946,W,2017,False
10,2017-08-27,Sun,MLS,Regular Season,Away,D 1–1,Portland Timbers,Seattle,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report,4277b946,D,2017,False
11,2017-09-09,Sat,MLS,Regular Season,Away,W 1–0,Portland Timbers,NYCFC,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report,4277b946,W,2017,False
12,2017-09-16,Sat,MLS,Regular Season,Away,L 1–2,Portland Timbers,Real Salt Lake,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report,4277b946,L,2017,False
13,2017-09-24,Sun,MLS,Regular Season,Home,W 3–0,Portland Timbers,Orlando City,Y,GK,90,4,0,4,100.0,1,0,0,0,0,Match Report,4277b946,W,2017,False
14,2017-09-30,Sat,MLS,Regular Season,Away,L 1–2,Portland Timbers,San Jose,Y,GK,90,6,2,4,66.7,0,0,0,0,0,Match Report,4277b946,L,2017,False
15,2017-10-15,Sun,MLS,Regular Season,Home,W 4–0,Portland Timbers,D.C. United,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report,4277b946,W,2017,False
16,2017-10-22,Sun,MLS,Regular Season,Home,W 2–1,Portland Timbers,Vancouver,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report,4277b946,W,2017,False
17,2017-10-30,Mon,MLS,Conference Semifinals,Away,D 0–0,Portland Timbers,Houston Dynamo,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,4277b946,D,2017,False
18,2017-11-05,Sun,MLS,Conference Semifinals,Home,L 1–2,Portland Timbers,Houston Dynamo,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report,4277b946,L,2017,False
19,2017-03-04,Sat,MLS,Regular Season,Away,D 1–1,Chicago Fire,Columbus Crew,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report,f4678d70,D,2017,False
20,2017-03-11,Sat,MLS,Regular Season,Home,W 2–0,Chicago Fire,Real Salt Lake,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report,f4678d70,W,2017,False
21,2017-03-18,Sat,MLS,Regular Season,Away,L 0–4,Chicago Fire,Atlanta Utd,Y,GK,90,6,4,3,33.3,0,0,0,0,0,Match Report,f4678d70,L,2017,False
22,2017-04-01,Sat,MLS,Regular Season,Home,D 2–2,Chicago Fire,Montreal Impact,Y,GK,90,4,2,2,50.0,0,0,0,0,0,Match Report,f4678d70,D,2017,False
23,2017-04-08,Sat,MLS,Regular Season,Home,W 1–0,Chicago Fire,Columbus Crew,Y,GK,90,3,0,3,100.0,1,0,0,0,0,Match Report,f4678d70,W,2017,False
24,2017-04-15,Sat,MLS,Regular Season,Home,W 3–0,Chicago Fire,New England,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report,f4678d70,W,2017,False
25,2017-04-21,Fri,MLS,Regular Season,Away,L 1–3,Chicago Fire,Toronto FC,Y,GK,90,9,3,6,66.7,0,0,0,0,0,Match Report,f4678d70,L,2017,False
26,2017-04-29,Sat,MLS,Regular Season,Away,L 1–2,Chicago Fire,NY Red Bulls,Y,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report,f4678d70,L,2017,False
27,2017-03-05,Sun,MLS,Regular Season,Home,W 1–0,Orlando City,NYCFC,Y,GK,90,7,0,6,100.0,1,0,0,0,0,Match Report,c3e50b67,W,2017,False
28,2017-03-18,Sat,MLS,Regular Season,Home,W 2–1,Orlando City,Philadelphia,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report,c3e50b67,W,2017,False
29,2017-04-01,Sat,MLS,Regular Season,Away,L 0–2,Orlando City,Columbus Crew,Y,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report,c3e50b67,L,2017,False
30,2017-04-09,Sun,MLS,Regular Season,Home,W 1–0,Orlando City,NY Red Bulls,Y,GK,90,4,0,3,100.0,1,0,0,0,0,Match Report,c3e50b67,W,2017,False
31,2017-04-15,Sat,MLS,Regular Season,Home,W 2–1,Orlando City,LA Galaxy,Y,GK,90,7,1,5,85.7,0,0,0,0,0,Match Report,c3e50b67,W,2017,False
32,2017-04-23,Sun,MLS,Regular Season,Away,W 2–1,Orlando City,NYCFC,Y,GK,90,8,1,7,87.5,0,0,0,0,0,Match Report,c3e50b67,W,2017,False
33,2017-04-29,Sat,MLS,Regular Season,Home,W 2–0,Orlando City,Colorado Rapids,Y,GK,90,1,0,1,100.0,1,0,0,0,0,Match Report,c3e50b67,W,2017,False
34,2017-05-03,Wed,MLS,Regular Season,Away,L 1–2,Orlando City,Toronto FC,Y,GK,90,3,2,1,33.3,0,0,0,0,0,Match Report,c3e50b67,L,2017,False
35,2017-05-06,Sat,MLS,Regular Season,Away,L 0–4,Orlando City,Houston Dynamo,Y,GK,90,11,4,7,63.6,0,1,0,0,1,Match Report,c3e50b67,L,2017,False
36,2017-05-13,Sat,MLS,Regular Season,Home,D 2–2,Orlando City,Sporting KC,Y,GK,90,8,2,6,75.0,0,0,0,0,0,Match Report,c3e50b67,D,2017,False
37,2017-05-17,Wed,MLS,Regular Season,Away,D 1–1,Orlando City,San Jose,Y,GK,90,3,1,2,66.7,0,0,0,0,0,Match Report,c3e50b67,D,2017,False
38,2017-05-21,Sun,MLS,Regular Season,Home,L 0–3,Orlando City,NYCFC,Y,GK,90,5,3,2,60.0,0,1,1,0,0,Match Report,c3e50b67,L,2017,False
39,2017-05-27,Sat,MLS,Regular Season,Away,L 0–1,Orlando City,Minnesota Utd,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report,c3e50b67,L,2017,False
40,2017-05-31,Wed,MLS,Regular Season,Home,W 2–0,Orlando City,D.C. United,Y,GK,90,4,0,3,100.0,1,0,0,0,0,Match Report,c3e50b67,W,2017,False
41,2017-06-04,Sun,MLS,Regular Season,Home,D 0–0,Orlando City,Chicago Fire,Y,GK,90,6,0,6,100.0,1,0,0,0,0,Match Report,c3e50b67,D,2017,False
42,2017-06-17,Sat,MLS,Regular Season,Home,D 3–3,Orlando City,Montreal Impact,Y,GK,90,7,3,3,57.1,0,0,0,0,0,Match Report,c3e50b67,D,2017,False
43,2017-06-21,Wed,MLS,Regular Season,Away,D 1–1,Orlando City,Seattle,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report,c3e50b67,D,2017,False
44,2017-06-24,Sat,MLS,Regular Season,Away,L 0–4,Orlando City,Chicago Fire,Y,GK,90,7,4,3,57.1,0,1,1,0,0,Match Report,c3e50b67,L,2017,False
45,2017-06-30,Fri,MLS,Regular Season,Away,W 1–0,Orlando City,Real Salt Lake,Y,GK,90,2,0,2,100.0,1,0,0,0,0,Match Report,c3e50b67,W,2017,False
46,2017-07-05,Wed,MLS,Regular Season,Home,L 1–3,Orlando City,Toronto FC,Y,GK,90,6,3,3,50.0,0,0,0,0,0,Match Report,c3e50b67,L,2017,False
47,2017-07-21,Fri,MLS,Regular Season,Home,L 0–1,Orlando City,Atlanta Utd,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report,c3e50b67,L,2017,False
48,2017-07-29,Sat,MLS,Regular Season,Away,D 1–1,Orlando City,Atlanta Utd,Y,GK,90,6,1,5,83.3,0,0,0,0,0,Match Report,c3e50b67,D,2017,False
49,2017-08-05,Sat,MLS,Regular Season,Away,L 1–2,Orlando City,Montreal Impact,Y,GK,90,7,2,5,85.7,0,1,1,0,0,Match Report,c3e50b67,L,2017,False
50,2017-08-12,Sat,MLS,Regular Season,Away,L 1–3,Orlando City,NY Red Bulls,Y,GK,90,4,3,2,25.0,0,0,0,0,0,Match Report,c3e50b67,L,2017,False
51,2017-08-19,Sat,MLS,Regular Season,Home,D 1–1,Orlando City,Columbus Crew,Y,GK,90,2,1,1,50.0,0,0,0,0,0,Match Report,c3e50b67,D,2017,False
52,2017-08-26,Sat,MLS,Regular Season,Home,L 1–2,Orlando City,Vancouver,Y,GK,90,3,2,2,33.3,0,0,0,0,0,Match Report,c3e50b67,L,2017,False
53,2017-09-02,Sat,MLS,Regular Season,Away,L 0–4,Orlando City,New England,Y,GK,90,7,4,3,42.9,0,0,0,0,0,Match Report,c3e50b67,L,2017,False
54,2017-09-09,Sat,MLS,Regular Season,Away,W 2–1,Orlando City,D.C. United,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report,c3e50b67,W,2017,False
55,2017-09-16,Sat,MLS,Regular Season,Away,D 3–3,Orlando City,Atlanta Utd,Y,GK,90,7,3,4,57.1,0,0,0,0,0,Match Report,c3e50b67,D,2017,False
56,2017-09-24,Sun,MLS,Regular Season,Away,L 0–3,Orlando City,Portland Timbers,Y,GK,90,10,3,7,80.0,0,1,1,0,0,Match Report,c3e50b67,L,2017,False
57,2017-09-27,Wed,MLS,Regular Season,Home,W 6–1,Orlando City,New England,Y,GK,90,5,1,4,80.0,0,0,0,0,0,Match Report,c3e50b67,W,2017,False
58,2017-09-30,Sat,MLS,Regular Season,Home,D 0–0,Orlando City,FC Dallas,Y,GK,90,5,0,5,100.0,1,0,0,0,0,Match Report,c3e50b67,D,2017,False
59,2017-10-15,Sun,MLS,Regular Season,Home,L 0–1,Orlando City,Columbus Crew,Y,GK,90,4,1,3,75.0,0,0,0,0,0,Match Report,c3e50b67,L,2017,False
60,2017-03-04,Sat,MLS,Regular Season,Home,W 1–0,San Jose,Montreal Impact,Y,GK,90,0,0,0,,1,0,0,0,0,Match Report,7fd42a85,W,2017,False
61,2017-03-11,Sat,MLS,Regular Season,Home,W 3–2,San Jose,Vancouver,Y,GK,90,2,2,0,0.0,0,0,0,0,0,Match Report,7fd42a85,W,2017,False
62,2017-03-18,Sat,MLS,Regular Season,Away,L 1–2,San Jose,Sporting KC,Y,GK,90,4,2,3,50.0,0,0,0,0,0,Match Report,7fd42a85,L,2017,False
