,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Saad Abdul-Salaam,us USA,DF,Sporting KC,25,1991,12,10,902,10,1,1,1,0,0,1,0,0.1,0.1,0.2,0.1,0.2,Matches,4705543b
2,Mohammed Abu,gh GHA,MF,Columbus Crew,25,1991,20,14,1279,14.2,0,0,0,0,0,3,0,0,0,0,0,0,Matches,c1f17b17
3,Lalas Abubakar,gh GHA,DF,Columbus Crew,22,1994,7,6,529,5.9,1,0,1,0,0,2,1,0.17,0,0.17,0.17,0.17,Matches,4a67f05b
4,David Accam,gh GHA,MFFW,Chicago Fire,26,1990,30,24,2194,24.4,14,6,12,2,2,2,0,0.57,0.25,0.82,0.49,0.74,Matches,f5220ece
5,Danilo Acosta,hn HON,DF,Real Salt Lake,19,1997,17,16,1408,15.6,0,1,0,0,0,2,1,0,0.06,0.06,0,0.06,Matches,41f720a5
6,Kellyn Acosta,us USA,MF,FC Dallas,21,1995,23,20,1893,21,3,2,3,0,0,2,0,0.14,0.1,0.24,0.14,0.24,Matches,ece10cfe
7,Luciano Acosta,ar ARG,MF,D.C. United,22,1994,31,30,2411,26.8,5,4,4,1,1,4,2,0.19,0.15,0.34,0.15,0.3,Matches,363ba6d7
8,Tyler Adams,us USA,MF,NY Red Bulls,17,1999,24,22,1993,22.1,2,3,2,0,0,2,0,0.09,0.14,0.23,0.09,0.23,Matches,2b09d998
9,Seyi Adekoya,us USA,FW,Seattle,21,1995,2,1,77,0.9,0,0,0,0,0,1,0,0,0,0,0,0,Matches,0f82a787
10,Fanendo Adi,ng NGA,FW,Portland Timbers,26,1990,22,22,1882,20.9,10,2,7,3,3,2,1,0.48,0.1,0.57,0.33,0.43,Matches,ae2dd50a
11,Bismark Adjei-Boateng,gh GHA,MF,Colorado Rapids,22,1994,18,10,807,9,0,0,0,0,0,3,0,0,0,0,0,0,Matches,222bc419
12,François Affolter,ch SUI,DF,San Jose,25,1991,6,6,508,5.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches,3bab978e
13,Harrison Afful,gh GHA,DFMF,Columbus Crew,30,1986,24,21,1779,19.8,0,0,0,0,0,3,1,0,0,0,0,0,Matches,7d8ede09
14,Juan Agudelo,us USA,FWMF,New England,24,1992,28,20,1817,20.2,8,1,8,0,0,3,0,0.4,0.05,0.45,0.4,0.45,Matches,0cb2115f
15,Stefan Aigner,de GER,MF,Colorado Rapids,29,1987,9,5,489,5.4,2,1,2,0,0,2,0,0.37,0.18,0.55,0.37,0.55,Matches,17cc3f63
16,José Aja,uy URU,DF,Orlando City,23,1993,15,15,1273,14.1,0,0,0,0,0,5,2,0,0,0,0,0,Matches,d47341b9
17,Tesho Akindele,ca CAN,MFFW,FC Dallas,24,1992,29,15,1516,16.8,4,0,4,0,0,3,1,0.24,0,0.24,0.24,0.24,Matches,897304e5
18,Fatai Alashe,us USA,MFDF,San Jose,23,1993,17,13,1200,13.3,0,0,0,0,0,6,0,0,0,0,0,0,Matches,eb67fa0a
19,Roland Alberg,sr SUR,MF,Philadelphia,26,1990,24,9,877,9.7,7,0,5,2,3,3,0,0.72,0,0.72,0.51,0.51,Matches,d541be26
20,Romain Alessandrini,fr FRA,MF,LA Galaxy,27,1989,30,27,2456,27.3,13,11,11,2,2,8,0,0.48,0.4,0.88,0.4,0.81,Matches,7a7610d2
21,Alex,br BRA,MF,Houston Dynamo,28,1988,32,28,2300,25.6,2,7,2,0,0,5,2,0.08,0.27,0.35,0.08,0.35,Matches,dc1ba369
22,Eric Alexander,us USA,MF,Houston Dynamo,28,1988,12,11,882,9.8,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,Matches,717d12ec
23,Tony Alfaro,us USA,DF,Seattle,23,1993,15,8,820,9.1,0,0,0,0,0,4,0,0,0,0,0,0,Matches,4118b12a
