,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Atlanta Utd,26,26.9,57.6,34,374,3060,34,69,53,65,4,4,,,2.03,1.56,3.59,1.91,3.47
Chicago Fire,25,27.5,52.4,34,374,3060,34,59,45,53,6,7,,,1.74,1.32,3.06,1.56,2.88
Colorado Rapids,27,27,44.4,34,374,3060,34,31,25,30,1,2,,,0.91,0.74,1.65,0.88,1.62
Columbus Crew,23,26.1,52,34,374,3060,34,53,42,49,4,6,,,1.56,1.24,2.79,1.44,2.68
D.C. United,31,27.2,45.3,34,374,3060,34,27,18,25,2,4,,,0.79,0.53,1.32,0.74,1.26
FC Dallas,27,26.5,49.9,34,374,3060,34,48,36,45,3,4,,,1.41,1.06,2.47,1.32,2.38
Houston Dynamo,26,28.2,43.9,34,374,3060,34,55,40,49,6,8,,,1.62,1.18,2.79,1.44,2.62
LA Galaxy,29,26.9,49.1,34,374,3060,34,42,30,37,5,5,,,1.24,0.88,2.12,1.09,1.97
Minnesota Utd,29,27.7,50.6,34,374,3060,34,45,32,42,3,4,,,1.32,0.94,2.26,1.24,2.18
Montreal Impact,30,28.6,48.2,34,374,3060,34,52,36,46,6,7,,,1.53,1.06,2.59,1.35,2.41
New England,24,27.1,45.5,34,374,3060,34,53,38,49,4,4,,,1.56,1.12,2.68,1.44,2.56
NY Red Bulls,26,26.9,56,34,374,3060,34,50,38,43,7,8,,,1.47,1.12,2.59,1.26,2.38
NYCFC,26,26.9,55.2,34,374,3060,34,56,43,52,4,6,,,1.65,1.26,2.91,1.53,2.79
Orlando City,28,27.1,48,34,374,3060,34,39,34,39,0,1,,,1.15,1,2.15,1.15,2.15
Philadelphia,26,27.6,45.6,34,374,3060,34,49,32,44,5,7,,,1.44,0.94,2.38,1.29,2.24
Portland Timbers,25,28.1,50.9,34,374,3060,34,59,43,50,9,11,,,1.74,1.26,3,1.47,2.74
Real Salt Lake,28,27.4,52.1,34,374,3060,34,49,36,45,4,4,,,1.44,1.06,2.5,1.32,2.38
San Jose,23,27.5,50.1,34,374,3060,34,39,33,38,1,1,,,1.15,0.97,2.12,1.12,2.09
Seattle,25,27.8,53.3,34,374,3060,34,51,36,46,5,6,,,1.5,1.06,2.56,1.35,2.41
Sporting KC,27,27.4,57.7,34,374,3060,34,39,25,37,2,3,,,1.15,0.74,1.88,1.09,1.82
Toronto FC,26,27.3,51.8,34,374,3060,34,71,47,64,7,11,,,2.09,1.38,3.47,1.88,3.26
Vancouver,31,27.3,41.7,34,374,3060,34,49,37,46,3,6,,,1.44,1.09,2.53,1.35,2.44
