,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
vs Atlanta Utd,26,27.5,42.4,34,374,3060,34,37,28,32,5,5,52,7,1.09,0.82,1.91,0.94,1.76
vs Chicago Fire,25,27.2,47.6,34,374,3060,34,45,32,42,3,3,56,8,1.32,0.94,2.26,1.24,2.18
vs Colorado Rapids,27,27.5,55.6,34,374,3060,34,49,35,42,7,8,46,5,1.44,1.03,2.47,1.24,2.26
vs Columbus Crew,23,27.1,48,34,374,3060,34,48,35,44,4,7,54,3,1.41,1.03,2.44,1.29,2.32
vs D.C. United,31,27.2,54.7,34,374,3060,34,57,46,52,5,7,61,3,1.68,1.35,3.03,1.53,2.88
vs FC Dallas,27,27.5,50.1,34,374,3060,34,48,37,45,3,4,55,1,1.41,1.09,2.5,1.32,2.41
vs Houston Dynamo,26,27.2,56.1,34,374,3060,34,44,35,41,3,3,63,1,1.29,1.03,2.32,1.21,2.24
vs LA Galaxy,29,27.4,50.9,34,374,3060,34,66,53,63,3,4,57,5,1.94,1.56,3.5,1.85,3.41
vs Minnesota Utd,29,27.4,49.4,34,374,3060,34,67,52,60,7,9,51,3,1.97,1.53,3.5,1.76,3.29
vs Montreal Impact,30,27.4,51.8,34,374,3060,34,57,39,53,4,5,54,4,1.68,1.15,2.82,1.56,2.71
vs New England,24,27.4,54.5,34,374,3060,34,61,40,56,5,5,64,2,1.79,1.18,2.97,1.65,2.82
vs NY Red Bulls,26,27.3,44,34,374,3060,34,46,29,38,8,9,69,7,1.35,0.85,2.21,1.12,1.97
vs NYCFC,26,27.5,44.8,34,374,3060,34,43,28,40,3,4,67,2,1.26,0.82,2.09,1.18,2
vs Orlando City,28,27.4,52,34,374,3060,34,56,43,52,4,5,79,2,1.65,1.26,2.91,1.53,2.79
vs Philadelphia,26,27.1,54.4,34,374,3060,34,47,33,41,6,7,57,4,1.38,0.97,2.35,1.21,2.18
vs Portland Timbers,25,27.3,49.1,34,374,3060,34,49,33,46,3,4,59,8,1.44,0.97,2.41,1.35,2.32
vs Real Salt Lake,28,27.2,47.9,34,374,3060,34,54,40,52,2,4,68,7,1.59,1.18,2.76,1.53,2.71
vs San Jose,23,27.1,49.9,34,374,3060,34,58,42,56,2,3,59,4,1.71,1.24,2.94,1.65,2.88
vs Seattle,25,27.5,46.7,34,374,3060,34,39,31,34,5,6,69,4,1.15,0.91,2.06,1,1.91
vs Sporting KC,27,27.2,42.3,34,374,3060,34,27,17,25,2,5,72,4,0.79,0.5,1.29,0.74,1.24
vs Toronto FC,26,27.2,48.2,34,374,3060,34,37,29,34,3,5,59,4,1.09,0.85,1.94,1,1.85
vs Vancouver,31,27.5,58.3,34,374,3060,34,49,40,45,4,5,69,3,1.44,1.18,2.62,1.32,2.5
