,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
vs Atlanta Utd,27,26.7,45.2,23,253,2070,23,30,25,30,0,0,45,1,1.3,1.09,2.39,1.3,2.39,29,29,23.6,52.6,1.26,1.03,2.29,1.26,2.29
vs Chicago Fire,25,27,49,23,253,2070,23,38,31,37,1,2,41,0,1.65,1.35,3,1.61,2.96,35.6,34.1,25.5,59.6,1.55,1.11,2.66,1.48,2.59
vs Colorado Rapids,22,27.4,48,18,198,1620,18,27,15,25,2,3,44,3,1.5,0.83,2.33,1.39,2.22,22.8,20.5,14.2,34.7,1.27,0.79,2.06,1.14,1.93
vs Columbus Crew,26,26.9,47.8,23,253,2070,23,21,13,15,6,6,56,3,0.91,0.57,1.48,0.65,1.22,29.9,25.4,20.1,45.5,1.3,0.87,2.18,1.1,1.98
vs D.C. United,26,26.6,54,23,253,2070,23,40,27,38,2,3,42,3,1.74,1.17,2.91,1.65,2.83,36.9,34.5,26.8,61.3,1.6,1.16,2.77,1.5,2.67
vs FC Cincinnati,30,26.6,50.7,23,253,2070,23,36,24,33,3,3,49,3,1.57,1.04,2.61,1.43,2.48,30.5,28.2,20.2,48.4,1.33,0.88,2.2,1.23,2.1
vs FC Dallas,27,26.9,48.6,22,242,1980,22,24,18,21,3,3,44,3,1.09,0.82,1.91,0.95,1.77,30.6,28.3,19.6,47.9,1.39,0.89,2.28,1.29,2.18
vs Houston Dynamo,26,27.1,51.5,23,253,2070,23,39,25,36,3,3,41,1,1.7,1.09,2.78,1.57,2.65,37.7,35.4,27,62.4,1.64,1.17,2.81,1.54,2.71
vs Inter Miami,28,26.1,52.9,23,253,2070,23,34,20,30,4,6,46,0,1.48,0.87,2.35,1.3,2.17,29.8,25.3,19.7,44.9,1.3,0.85,2.15,1.1,1.95
vs LA Galaxy,25,26.6,55,22,242,1980,22,46,34,42,4,6,25,2,2.09,1.55,3.64,1.91,3.45,35.6,31.1,23.5,54.6,1.62,1.07,2.69,1.41,2.48
vs Los Angeles FC,28,27.1,41.4,22,242,1980,22,36,27,32,4,5,52,3,1.64,1.23,2.86,1.45,2.68,29.2,25.5,19.3,44.8,1.33,0.88,2.2,1.16,2.04
vs Minnesota Utd,28,27.4,52.7,21,231,1890,21,25,16,22,3,5,39,1,1.19,0.76,1.95,1.05,1.81,36.3,32.5,24.1,56.6,1.73,1.15,2.87,1.55,2.69
vs Montreal Impact,26,26.6,52,23,253,2070,23,42,34,40,2,4,28,1,1.83,1.48,3.3,1.74,3.22,38.7,35.9,28.7,64.5,1.68,1.25,2.93,1.56,2.81
vs Nashville,26,26.6,55.5,23,253,2070,23,22,18,22,0,0,34,1,0.96,0.78,1.74,0.96,1.74,25.4,25.4,18.7,44.1,1.1,0.81,1.92,1.1,1.92
vs New England,25,26.1,48.8,23,253,2070,23,23,17,22,1,1,38,1,1,0.74,1.74,0.96,1.7,27,26.3,20.6,46.9,1.17,0.89,2.07,1.14,2.04
vs NY Red Bulls,27,26.8,54.3,23,253,2070,23,30,19,27,3,3,33,1,1.3,0.83,2.13,1.17,2,34,31.7,23.5,55.2,1.48,1.02,2.5,1.38,2.4
vs NYCFC,22,26.7,44,23,253,2070,23,25,13,22,3,4,42,1,1.09,0.57,1.65,0.96,1.52,28.1,25,16.3,41.2,1.22,0.71,1.93,1.09,1.79
vs Orlando City,28,26.5,49.7,23,253,2070,23,24,19,23,1,2,55,0,1.04,0.83,1.87,1,1.83,25.7,24.1,18.4,42.6,1.12,0.8,1.92,1.05,1.85
vs Philadelphia,23,26.7,52.1,23,253,2070,23,20,16,19,1,2,33,4,0.87,0.7,1.57,0.83,1.52,25.5,24,19.5,43.5,1.11,0.85,1.96,1.05,1.89
vs Portland Timbers,27,26.8,53.5,23,253,2070,23,35,22,34,1,2,38,1,1.52,0.96,2.48,1.48,2.43,35.3,33.8,22.2,55.9,1.53,0.96,2.5,1.47,2.43
vs Real Salt Lake,26,26.7,47.7,22,242,1980,22,33,25,32,1,1,40,0,1.5,1.14,2.64,1.45,2.59,28.7,27.9,20.6,48.5,1.3,0.94,2.24,1.27,2.21
vs San Jose,27,26.5,44.3,23,253,2070,23,48,34,45,3,4,45,2,2.09,1.48,3.57,1.96,3.43,37,33.9,25.5,59.4,1.61,1.11,2.72,1.47,2.58
vs Seattle,27,26.9,45.5,22,242,1980,22,22,15,20,2,2,35,1,1,0.68,1.68,0.91,1.59,20.9,19.4,16,35.4,0.95,0.73,1.68,0.88,1.61
vs Sporting KC,23,26.9,50.3,21,231,1890,21,23,20,23,0,2,51,4,1.1,0.95,2.05,1.1,2.05,26,24.4,18.6,43,1.24,0.88,2.12,1.16,2.05
vs Toronto FC,29,26.1,45.5,23,253,2070,23,25,14,23,2,3,56,1,1.09,0.61,1.7,1,1.61,25.3,23.1,17.4,40.5,1.1,0.76,1.86,1,1.76
vs Vancouver,27,27.4,58.2,23,253,2070,23,41,33,38,3,3,41,5,1.78,1.43,3.22,1.65,3.09,38,35.8,29.2,65,1.65,1.27,2.92,1.56,2.83
