,,,,Playing Time,,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,,Per 90 Minutes,,,,
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
vs Atlanta Utd,30,26.7,42.6,34,374,"3,060",34,37,28,32,5,5,81,3,1.09,0.82,1.91,0.94,1.76,46.9,43.1,33.5,76.7,1.38,0.99,2.37,1.27,2.26
vs Austin,27,26.7,46,34,374,"3,060",34,55,37,53,2,3,47,1,1.62,1.09,2.71,1.56,2.65,57.4,55.2,39.6,94.7,1.69,1.16,2.85,1.62,2.79
vs CF Montréal,28,26.7,47.1,34,374,"3,060",34,42,28,37,5,5,74,4,1.24,0.82,2.06,1.09,1.91,44,40.2,30.4,70.6,1.3,0.89,2.19,1.18,2.08
vs Chicago Fire,25,26.6,50.2,34,374,"3,060",34,51,33,47,4,5,62,2,1.5,0.97,2.47,1.38,2.35,52.8,49.2,37.4,86.6,1.55,1.1,2.65,1.45,2.55
vs Colorado Rapids,27,26.9,51.7,34,374,"3,060",34,34,28,33,1,1,53,2,1,0.82,1.82,0.97,1.79,38.7,37.9,29.2,67.2,1.14,0.86,2,1.12,1.98
vs Columbus Crew,27,26.2,48.3,34,374,"3,060",34,45,29,41,4,5,62,1,1.32,0.85,2.18,1.21,2.06,44.8,41.1,30,71.1,1.32,0.88,2.2,1.21,2.09
vs D.C. United,29,26.6,54,34,374,"3,060",34,49,36,47,2,2,73,5,1.44,1.06,2.5,1.38,2.44,40.2,38.7,30.4,69.1,1.18,0.89,2.08,1.14,2.03
vs FC Cincinnati,29,26.6,51,34,374,"3,060",34,73,52,71,2,2,75,4,2.15,1.53,3.68,2.09,3.62,61.5,60,44.5,104.4,1.81,1.31,3.12,1.76,3.07
vs FC Dallas,26,26.9,48.9,34,374,"3,060",34,55,36,47,8,10,61,4,1.62,1.06,2.68,1.38,2.44,53,45.5,34.4,79.9,1.56,1.01,2.57,1.34,2.35
