Season,Player,Nation,Pos,Age,fbref_ID
2022,Paxten Aaronson,USA,FWMF,19,4cd41883
2022,Lalas Abubakar,GHA,DF,27,4a67f05b
2022,Nicolás Acevedo,URU,MFDF,23,6140be7b
2022,Ifunanyachi Achara,USA,FWMF,25,d31bf83e
2022,Bryan Acosta,HON,MF,28,c5f400f4
2022,George Acosta,USA,MF,22,409d5b26
2022,Kellyn Acosta,USA,MFDF,27,ece10cfe
2022,Luciano Acosta,ARG,MF,28,363ba6d7
2022,Mo Adams,ENG,MF,26,00362ef7
2022,Samuel Adeniran,USA,FWMF,24,86429529
2022,Harrison Afful,GHA,DF,36,7d8ede09
2022,Samuel Afriyie Owusu,GHA,DF,21,ea0af15a
2022,William Agada,NGA,FW,23,d2275b1b
2022,Oskar Ågren,SWE,DF,24,5ad77e97
2022,Daniel Aguirre,USA,MFFW,23,ecc5063f
2022,Ali Ahmed,CAN,DFMF,22,540a5be1
2022,Arnaud Ake,CIV,FW,24,3402bb17
2018,John McCarthy,USA,GK,25,249362e9
2022,Matai Akinmboni,USA,DF,16,cfed08d5
2022,Ayo Akinola,CAN,FW,22,214d2406
2022,Jordy Alcivar,ECU,MF,23,6e98c19f
2022,Caio Alexandre,BRA,MF,23,08ac23b7
2022,Tony Alfaro,USA,DF,29,4118b12a
2022,Noah Allen,USA,DFMF,18,043f389a
2022,Thiago Almada,ARG,MFFW,21,27f33438
2022,Osvaldo Alonso,CUB,MF,36,8449bfda
2022,Jozy Altidore,USA,FW,32,8db8ad1e
2022,Efrain Alvarez,MEX,MFFW,20,3cd08ab7
2022,Luis Amarilla,PAR,FW,27,fa66adb6
2022,Frankie Amaya,USA,MF,22,2e8bd00c
2022,Mikey Ambrose,USA,DF,29,f649d6aa
2022,Malte Amundsen,DEN,DF,24,83b6e15d
2022,Max Anchor,CAN,GK,18,d6aa8848
2022,Sebastian Anderson,USA,DF,20,3a9911ce
2022,José Andrés Martínez,VEN,MF,28,c8364e8e
2022,Iván Angulo,COL,FWMF,23,55a5d959
2022,Jalil Anibaba,USA,DF,33,e44593b0
2022,Themi Antonoglou,CAN,DF,21,b137ee51
2022,Brian Anunga,CMR,MF,26,17b28ec7
2022,Cristian Arango,COL,FW,27,fea9401e
2022,César Araujo,URU,MF,21,3ed214ff
2022,Julian Araujo,MEX,DF,21,8f4541c2
2022,Luiz Araújo,BRA,FWMF,26,fa18c72e
2022,Daniel Armando Ríos,MEX,FW,27,078b2c07
2022,Adam Armour,USA,MF,20,546c2c25
2022,Xavier Arreaga,ECU,DF,28,7f2b7640
2022,Kervin Arriaga,HON,MF,24,4f8a9f70
2022,Paul Arriola,USA,FW,27,1bb2acce
2022,Artur,BRA,MF,26,ea6803c7
2022,Dairon Asprilla,COL,FWMF,30,218d336c
2022,Isaac Atanga,GHA,FW,22,ff0f2a53
